id,sleep,eating,cleanliness,sociability,sharing
U057,Night owl,Flexitarian,4,Balanced,Very open
U058,On-time,Flexitarian,3,Balanced,Somewhat okay
U059,Night owl,Vegan,2,Quiet,Somewhat okay
U060,Night owl,Flexitarian,4,Social/Chill,Very open
U061,Night owl,Non-vegetarian,4,Quiet,Somewhat okay
U062,Night owl,Flexitarian,3,Social/Chill,Somewhat okay
U063,On-time,Non-vegetarian,4,Social/Chill,Very open
U064,Night owl,Non-vegetarian,4,Social/Chill,Somewhat okay
U065,On-time,Vegetarian,4,Balanced,Somewhat okay
U066,Early,Vegetarian,3,Balanced,Somewhat okay
U067,On-time,Flexitarian,4,Balanced,Not comfortable
U068,On-time,Vegan,5,Balanced,Somewhat okay
U069,On-time,Vegetarian,4,Balanced,Somewhat okay
U070,On-time,Vegan,4,Balanced,Somewhat okay
U071,Early,Flexitarian,4,Quiet,Not comfortable
U072,On-time,Vegan,4,Balanced,Somewhat okay
U073,On-time,Vegetarian,5,Balanced,Somewhat okay
U074,On-time,Vegetarian,3,Balanced,Somewhat okay
U075,Night owl,Flexitarian,4,Quiet,Very open
U076,On-time,Vegan,3,Balanced,Very open
U077,On-time,Vegetarian,5,Quiet,Somewhat okay
U078,Early,Flexitarian,2,Social/Chill,Very open
U079,Night owl,Non-vegetarian,3,Social/Chill,Somewhat okay
U080,On-time,Non-vegetarian,3,Balanced,Very open
U081,On-time,Vegetarian,5,Social/Chill,Very open
U082,Early,Vegetarian,4,Social/Chill,Very open
U083,Night owl,Flexitarian,1,Balanced,Very open
U084,On-time,Flexitarian,2,Social/Chill,Somewhat okay
U085,Night owl,Non-vegetarian,5,Social/Chill,Very open
U086,On-time,Flexitarian,3,Social/Chill,Not comfortable
U087,Early,Vegan,5,Quiet,Very open
U088,Night owl,Vegan,4,Balanced,Somewhat okay
U089,Night owl,Vegetarian,3,Social/Chill,Very open
U090,On-time,Non-vegetarian,4,Balanced,Somewhat okay
U091,On-time,Vegan,2,Social/Chill,Very open
U092,On-time,Vegan,5,Social/Chill,Very open
U093,Early,Non-vegetarian,4,Quiet,Not comfortable
U094,Night owl,Flexitarian,4,Social/Chill,Somewhat okay
U095,On-time,Flexitarian,1,Balanced,Very open
U096,Night owl,Non-vegetarian,2,Social/Chill,Somewhat okay
U097,On-time,Vegan,3,Social/Chill,Somewhat okay
U098,Night owl,Flexitarian,1,Balanced,Very open
U099,Night owl,Vegan,5,Balanced,Somewhat okay
U100,Early,Vegetarian,5,Social/Chill,Very open
